% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.47,DXCM,DEXCOM INC,B0796X4,89.83,"240,184.00","21,575,728.72",8/12/2022
6.33,SWKS,SKYWORKS SOLUTIONS INC,2961053,113.41,"186,064.00","21,101,518.24",8/12/2022
5.84,STM FP,STMICROELECTRONICS NV,5962332,38.03,"512,181.00","19,479,700.07",8/12/2022
5.34,GRMN,GARMIN LTD,B3Z5T14,100.07,"178,077.00","17,820,165.39",8/12/2022
5.08,2395 TT,ADVANTECH CO LTD,6202673,11.27,"1,501,121.00","16,922,783.60",8/12/2022
4.59,ST,SENSATA TECHNOLO,BFMBMT8,45.67,"334,874.00","15,293,695.58",8/12/2022
4.5,ADT,ADT INC,BFWCP81,8.25,"1,817,004.00","14,990,283.00",8/12/2022
3.44,SLAB,SILICON LABORATORIES INC,2568131,146.84,"78,060.00","11,462,330.40",8/12/2022
2.47,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,76.79,"107,072.00","8,222,058.88",8/12/2022
2.24,AMBA,AMBARELLA INC,B7KH3G6,91.75,"81,290.00","7,458,357.50",8/12/2022
2.19,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,17.72,"412,402.00","7,308,128.67",8/12/2022
2.17,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,43.86,"164,582.00","7,218,508.77",8/12/2022
2.12,QCOM,QUALCOMM INC,2714923,151.29,"46,622.00","7,053,442.38",8/12/2022
2.09,JCI,JOHNSON CONTROLS,BY7QL61,58.05,"120,073.00","6,970,237.65",8/12/2022
2.07,ADI,ANALOG DEVICES INC,2032067,179.26,"38,590.00","6,917,643.40",8/12/2022
2.04,NXPI,NXP SEMICONDUCTORS NV,B505PN7,187.47,"36,299.00","6,804,973.53",8/12/2022
1.98,SU FP,SCHNEIDER ELECTRIC SE,4834108,138.44,"47,741.00","6,609,487.20",8/12/2022
1.97,ABBN SW,ABB LTD-REG,7108899,30.49,"215,200.00","6,561,406.41",8/12/2022
1.97,BDC,BELDEN INC,B01WL78,69.53,"94,359.00","6,560,781.27",8/12/2022
1.94,EMR,EMERSON ELECTRIC CO,2313405,89.22,"72,610.00","6,478,264.20",8/12/2022
1.94,RMBS,RAMBUS INC,2721967,27.54,"235,007.00","6,472,092.78",8/12/2022
1.93,HON,HONEYWELL INTL,2020459,200.87,"32,061.00","6,440,093.07",8/12/2022
1.88,BMI,BADGER METER INC,2069128,100.42,"62,536.00","6,279,865.12",8/12/2022
1.83,CSCO,CISCO SYSTEMS INC,2198163,46.61,"130,747.00","6,094,117.67",8/12/2022
1.67,IBM,IBM,2005973,134.01,"41,557.00","5,569,053.57",8/12/2022
1.59,ITRI,ITRON INC,2471949,55.1,"96,051.00","5,292,410.10",8/12/2022
1.59,PI,IMPINJ INC,BYYGJZ9,97.84,"54,073.00","5,290,502.32",8/12/2022
1.53,AMS SW,AMS-OSRAM AG,BPF0548,8.69,"586,301.00","5,095,245.97",8/12/2022
1.51,GFS,GLOBALFOUNDRIES INC,BMW7F63,64.95,"77,490.00","5,032,975.50",8/12/2022
