6.62,DXCM,DEXCOM INC,B0796X4,88.37,"240,184.00","21,225,060.08",8/25/2022
6.29,SWKS,SKYWORKS SOLUTIONS INC,2961053,108.41,"186,064.00","20,171,198.24",8/25/2022
5.82,STM FP,STMICROELECTRONICS NV,5962332,36.45,"512,181.00","18,670,310.05",8/25/2022
5.28,GRMN,GARMIN LTD,B3Z5T14,95.14,"178,077.00","16,942,245.78",8/25/2022
5.09,2395 TT,ADVANTECH CO LTD,6202673,10.87,"1,501,121.00","16,324,094.56",8/25/2022
4.5,ST,SENSATA TECHNOLO,BFMBMT8,43.05,"334,874.00","14,416,325.70",8/25/2022
4.43,ADT,ADT INC,BFWCP81,7.82,"1,817,004.00","14,208,971.28",8/25/2022
3.35,SLAB,SILICON LABORATORIES INC,2568131,137.65,"78,060.00","10,744,959.00",8/25/2022
2.45,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,47.67,"164,582.00","7,845,540.25",8/25/2022
2.31,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,69.3,"107,072.00","7,420,089.60",8/25/2022
2.22,AMBA,AMBARELLA INC,B7KH3G6,87.74,"81,290.00","7,132,384.60",8/25/2022
2.14,JCI,JOHNSON CONTROLS,BY7QL61,57.02,"120,073.00","6,846,562.46",8/25/2022
2.13,QCOM,QUALCOMM INC,2714923,146.25,"46,622.00","6,818,467.50",8/25/2022
2.09,BDC,BELDEN INC,B01WL78,70.85,"94,359.00","6,685,335.15",8/25/2022
2.08,RMBS,RAMBUS INC,2721967,28.39,"235,007.00","6,671,848.73",8/25/2022
2.07,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,16.06,"412,402.00","6,625,008.75",8/25/2022
2.03,NXPI,NXP SEMICONDUCTORS NV,B505PN7,179.02,"36,299.00","6,498,246.98",8/25/2022
2.01,ADI,ANALOG DEVICES INC,2032067,167.07,"38,590.00","6,447,231.30",8/25/2022
2,HON,HONEYWELL INTL,2020459,200.43,"32,061.00","6,425,986.23",8/25/2022
1.99,EMR,EMERSON ELECTRIC CO,2313405,87.97,"72,610.00","6,387,501.70",8/25/2022
1.95,BMI,BADGER METER INC,2069128,99.82,"62,536.00","6,242,343.52",8/25/2022
1.94,ABBN SW,ABB LTD-REG,7108899,28.87,"215,200.00","6,213,316.73",8/25/2022
1.93,CSCO,CISCO SYSTEMS INC,2198163,47.27,"130,747.00","6,180,410.69",8/25/2022
1.89,SU FP,SCHNEIDER ELECTRIC SE,4834108,127.08,"47,741.00","6,067,159.87",8/25/2022
1.74,IBM,IBM,2005973,133.98,"41,557.00","5,567,806.86",8/25/2022
1.63,PI,IMPINJ INC,BYYGJZ9,96.45,"54,073.00","5,215,340.85",8/25/2022
1.56,GFS,GLOBALFOUNDRIES INC,BMW7F63,64.5,"77,490.00","4,998,105.00",8/25/2022
1.53,ITRI,ITRON INC,2471949,51.16,"96,051.00","4,913,969.16",8/25/2022
1.45,2454 TT,MEDIATEK INC,6372480,22.18,"210,280.00","4,663,916.84",8/25/2022
1.41,AMS SW,AMS-OSRAM AG,BPF0548,7.72,"586,301.00","4,526,664.64",8/25/2022
1.31,ROK,ROCKWELL AUTOMATION INC,2754060,246.86,"16,946.00","4,183,289.56",8/25/2022
1.18,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,61,"62,095.00","3,787,930.28",8/25/2022
1.1,IDCC,INTERDIGITAL INC,2465737,53.49,"66,047.00","3,532,854.03",8/25/2022
0.96,IOT,SAMSARA INC-CL A,BPK3058,15.9,"192,636.00","3,062,912.40",8/25/2022
0.91,LR FP,LEGRAND SA,B11ZRK9,75.12,"38,943.00","2,925,438.12",8/25/2022
0.87,VVNT,VIVINT SMART HOME INC,BKLPS43,6.26,"447,268.00","2,799,897.68",8/25/2022
0.86,6723 JP,RENESAS ELECTRONICS CORP,6635677,9.73,"284,070.00","2,763,913.09",8/25/2022
0.81,DGII,DIGI INTERNATIONAL INC,2269661,34.67,"74,599.00","2,586,347.33",8/25/2022
0.79,SWIR,SIERRA WIRELESS INC,2585259,30.93,"81,469.00","2,519,836.17",8/25/2022
0.66,KTN GR,KONTRON AG,4665933,15.03,"141,514.00","2,127,265.40",8/25/2022
0.63,PTC,PTC INC,B95N910,119.32,"16,997.00","2,028,082.04",8/25/2022
0.5,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,6.1,"260,783.00","1,590,776.30",8/25/2022
0.47,NTGR,NETGEAR INC,2688363,24.76,"61,025.00","1,510,979.00",8/25/2022
0.46,SMRT,SMARTRENT INC,BPCHD26,3.57,"415,326.00","1,482,713.82",8/25/2022
0.4,GSAT,GLOBALSTAR INC,B1GHPM8,1.89,"673,067.00","1,272,096.63",8/25/2022
0.39,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,6.74,"184,221.00","1,241,649.54",8/25/2022
0.38,LSCC,LATTICE SEMICOND,2506658,60.98,"19,954.00","1,216,794.92",8/25/2022
0.36,6929 JP,NIPPON CERAMIC CO LTD,6646561,19.6,"58,095.00","1,138,567.65",8/25/2022
0.35,DAL IM,DATALOGIC SPA,B14P8W5,8.89,"125,105.00","1,112,002.82",8/25/2022
0.34,VUZI,VUZIX CORP,B9GT0J2,8.13,"134,886.00","1,096,623.18",8/25/2022
0.34,IRDM,IRIDIUM COMMUNIC,B2QH310,46.5,"23,081.00","1,073,266.50",8/25/2022
0.32,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,22.61,"45,849.00","1,036,645.89",8/25/2022
0.32,BB,BLACKBERRY LTD,BCBHZ42,6.42,"159,445.00","1,023,636.90",8/25/2022
0.29,SYNA,SYNAPTICS INC,2839268,133.93,"7,040.00","942,867.20",8/25/2022
0.29,SPT LN,SPIRENT COMM,472609,3.11,"295,027.00","916,824.48",8/25/2022
0.25,SMTC,SEMTECH CORP,2795542,52.32,"15,440.00","807,820.80",8/25/2022
0.23,LTCH,LATCH INC,BMZP9Z1,1.08,"672,074.00","725,839.92",8/25/2022
0.2,FINGB SS,FINGERPRINT CARDS AB-B,BD6S127,0.68,"941,142.00","637,699.98",8/25/2022
0.14,,CASH,,-1.22,"-361,111.69","439,587.93",8/25/2022
